Sampleanem_combined,Sample Name,Water,Inhabitant,Replicate,Timepoint,Cells µL-1,∆Cells µL-1,Surface Area (cm^2),Hours,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,Ultra Violet Humic-like (RU),Marine Humic-like (RU),Visible Humic-like (RU),Tryptophan-like (RU),Tyrosine-like (RU),Phenylalanine-like (RU),Fulvic Acid-like (RU),Ultra Violet Humic-like (RU/cm^2),Marine Humic-like (RU/cm^2),Visible Humic-like (RU/cm^2),Tryptophan-like (RU/cm^2),Tyrosine-like (RU/cm^2),Phenylalanine-like (RU/cm^2),Fulvic Acid-like (RU/cm^2)
CR_PO_2F_T1_FLT,CR_PO_2F_T1,Filtered,Porolithon onkodes,2,1,136.183673,NA,23.083,1,37620.563706647,65.064166966434,58.997203893271,47.671807819296,11,0.0251970791984,0.0273093650656,0.0252758257348,0.035516073513,0.0302879018282,0.0242694311492,0.0123330460911,1.754881E-04,1.415892E-04,1.980877E-04,7.245915E-04,7.48873E-05,6.23728E-04,9.36021E-05
CR_PO_3F_T1_FLT,CR_PO_3F_T1,Filtered,Porolithon onkodes,3,1,114.3,NA,16.603,1,37620.563706647,65.064166966434,58.997203893271,70.590980140882,12,0.0288941635854,0.0329415132303,0.0289914472236,0.0415877385637,0.0438016016569,0.020088984416,0.012912703648,4.666552E-04,5.360749E-04,4.991917E-04,0.0013730898,9.180464E-04,6.153747E-04,1.65047E-04
CR_CH_1U_T1_FLT,CR_CH_1U_T1,Unfiltered,Water Control,1,1,650.9,NA,NA,1,35920.20403652,61.789962699664,63.135944683571,63.557467532878,13,0.0219144150149,0.0247446980678,0.0217246565577,0.0397645409046,0.0313661162699,0.0173704401545,0.0104604626534,NA,NA,NA,NA,NA,NA,NA
CR_CH_2U_T1_FLT,CR_CH_2U_T1,Unfiltered,Water Control,2,1,657.16,NA,NA,1,35920.20403652,61.789962699664,63.135944683571,50.207432613126,14,0.021622996159,0.023879373551,0.021392922755000000,0.0254888308769,0.0244675398538,0.0147441455678,0.0101692268944,NA,NA,NA,NA,NA,NA,NA
CR_CH_3U_T1_FLT,CR_CH_3U_T1,Unfiltered,Water Control,3,1,638.68,NA,NA,1,35920.20403652,61.789962699664,63.135944683571,38.325178720509,15,0.0204270517123,0.0222084940491,0.0200026191659,0.0174781757975,0.0197481729303,0.0149559643508,0.0097801851039,NA,NA,NA,NA,NA,NA,NA
CR_CC_1U_T1_FLT,CR_CC_1U_T1,Unfiltered,Calcite control,1,1,763.16,NA,21.952,1,35920.20403652,61.789962699664,63.135944683571,48.326988405945,16,0.0245041879054,0.0264953225461,0.024488482416,0.0348457335776,0.0272633624485,0.0132792118577,0.0117642459173,1.449845E-04,1.118012E-04,1.724269E-04,7.313869E-04,9.42702E-05,-1.09829E-04,7.41445E-05
CR_CC_2U_T1_FLT,CR_CC_2U_T1,Unfiltered,Calcite control,2,1,754.78,NA,26.421,1,35920.20403652,61.789962699664,63.135944683571,50.975756395044,17,0.0247746648973,0.026371306405,0.0249305509895,0.0328223810371,0.0336129994566,0.0144612461882,0.0117853758746,1.306982E-04,8.81967E-05,1.599933E-04,5.310947E-04,3.186502E-04,-4.6514E-05,6.24031E-05
CR_CC_3U_T1_FLT,CR_CC_3U_T1,Unfiltered,Calcite control,3,1,744.7,NA,23.409,1,35920.20403652,61.789962699664,63.135944683571,48.914228450808,18,0.0257781010302,0.0280710398672,0.0263436398683,0.0325248333568,0.0241284446439,0.0173806768577,0.0122872984688,1.903803E-04,1.721551E-04,2.409446E-04,5.86719E-04,-4.5517E-05,7.22155E-05,9.18738E-05
CR_HR_1U_T1_FLT,CR_HR_1U_T1,Unfiltered,Hydrolithon reinboldii,1,1,765.938776,NA,30.69,1,35564.090006587,63.768144064765,58.248583213163,52.281532551091,19,0.0258682368478,0.028466326717,0.0269536688809,0.0516787292371,0.0353285564811,0.0182209344264,0.0126799199504,1.481508E-04,1.39848E-04,1.757348E-04,8.247664E-04,3.302253E-04,8.24617E-05,8.28705E-05
CR_HR_2U_T1_FLT,CR_HR_2U_T1,Unfiltered,Hydrolithon reinboldii,2,1,736.26,NA,26.677,1,35564.090006587,63.768144064765,58.248583213163,59.288602027177,20,0.0272628569935,0.0305246551967,0.028056651793,0.0633236843303,0.0564150552926,0.0167225734864,0.0132949601916,2.22715E-04,2.380427E-04,2.435163E-04,0.001385352,0.0011703382,3.86996E-05,1.183917E-04
CR_HR_3U_T1_FLT,CR_HR_3U_T1,Unfiltered,Hydrolithon reinboldii,3,1,785.77551,NA,36.147,1,35564.090006587,63.768144064765,58.248583213163,80.768220541556,21,0.0283227238697,0.0324062379451,0.0295010874472,0.0593712795053,0.0447240126531,0.0350549736635,0.0138304342365,1.936879E-04,2.277325E-04,2.196785E-04,9.130669E-04,5.402957E-04,5.357233E-04,1.021885E-04
CR_PO_1U_T1_FLT,CR_PO_1U_T1,Unfiltered,Porolithon onkodes,1,1,772.346939,NA,23.438,1,35564.090006587,63.768144064765,58.248583213163,56.799855984862,22,0.0274997519124,0.0295648030882,0.0282557645377,0.0446973362075,0.0344286061213,0.0113297649375,0.0135133674029,2.636003E-04,2.540297E-04,3.078632E-04,7.304443E-04,3.940039E-04,-1.86041E-04,1.440713E-04
CR_PO_2U_T1_FLT,CR_PO_2U_T1,Unfiltered,Porolithon onkodes,2,1,715.77551,NA,21.314,1,35564.090006587,63.768144064765,58.248583213163,60.038887851308,23,0.0277197812097,0.0304808003443,0.0289977545626,0.0431130190066,0.0434441207564,0.0359248063647,0.0135410063906,3.001921E-04,3.223208E-04,3.73355E-04,7.289029E-04,8.562531E-04,9.493583E-04,1.597251E-04
CR_PO_3U_T1_FLT,CR_PO_3U_T1,Unfiltered,Porolithon onkodes,3,1,689.84,NA,24.476,1,35564.090006587,63.768144064765,58.248583213163,59.950204771598,24,0.026825101472,0.0292817257779,0.0280142907918,0.0462841711325,0.0431623615097,0.0165740744754,0.0130407988045,2.248576E-04,2.316911E-04,2.849414E-04,7.642993E-04,7.34124E-04,3.61126E-05,1.186539E-04
CR_CH_1F_T2_FLT,CR_CH_1F_T2,Filtered,Water Control,1,2,36.795918,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_2F_T2_FLT,CR_CH_2F_T2,Filtered,Water Control,2,2,27.77551,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_3F_T2_FLT,CR_CH_3F_T2,Filtered,Water Control,3,2,47.877551,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_1F_T2_FLT,CR_CC_1F_T2,Filtered,Calcite control,1,2,252.9,NA,27.609,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_2F_T2_FLT,CR_CC_2F_T2,Filtered,Calcite control,2,2,173.530612,NA,22.59,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_3F_T2_FLT,CR_CC_3F_T2,Filtered,Calcite control,3,2,179.020408,NA,22.565,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_1F_T2_FLT,CR_HR_1F_T2,Filtered,Hydrolithon reinboldii,1,2,217.4,NA,29.302,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_2F_T2_FLT,CR_HR_2F_T2,Filtered,Hydrolithon reinboldii,2,2,226.877551,NA,29.234,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_3F_T2_FLT,CR_HR_3F_T2,Filtered,Hydrolithon reinboldii,3,2,213.040816,NA,25.523,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_1F_T2_FLT,CR_PO_1F_T2,Filtered,Porolithon onkodes,1,2,427.94,NA,29.225,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_2F_T2_FLT,CR_PO_2F_T2,Filtered,Porolithon onkodes,2,2,279.306122,NA,23.083,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_3F_T2_FLT,CR_PO_3F_T2,Filtered,Porolithon onkodes,3,2,268.7,NA,16.603,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_1U_T2_FLT,CR_CH_1U_T2,Unfiltered,Water Control,1,2,657.34,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_2U_T2_FLT,CR_CH_2U_T2,Unfiltered,Water Control,2,2,720.183673,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_3U_T2_FLT,CR_CH_3U_T2,Unfiltered,Water Control,3,2,685.714286,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_1U_T2_FLT,CR_CC_1U_T2,Unfiltered,Calcite control,1,2,779.387755,NA,21.952,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_2U_T2_FLT,CR_CC_2U_T2,Unfiltered,Calcite control,2,2,748.56,NA,26.421,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CC_3U_T2_FLT,CR_CC_3U_T2,Unfiltered,Calcite control,3,2,814.387755,NA,23.409,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_1U_T2_FLT,CR_HR_1U_T2,Unfiltered,Hydrolithon reinboldii,1,2,677.102041,NA,30.69,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_2U_T2_FLT,CR_HR_2U_T2,Unfiltered,Hydrolithon reinboldii,2,2,773.08,NA,26.677,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_HR_3U_T2_FLT,CR_HR_3U_T2,Unfiltered,Hydrolithon reinboldii,3,2,743.408163,NA,36.147,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_1U_T2_FLT,CR_PO_1U_T2,Unfiltered,Porolithon onkodes,1,2,1008.395833,NA,23.438,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_2U_T2_FLT,CR_PO_2U_T2,Unfiltered,Porolithon onkodes,2,2,901.816327,NA,21.314,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_PO_3U_T2_FLT,CR_PO_3U_T2,Unfiltered,Porolithon onkodes,3,2,954.755102,NA,24.476,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR_CH_1F_T3_FLT,CR_CH_1F_T3,Filtered,Water Control,1,3,40.938776,5.612245,NA,8,35642.788113828,58.119972251705,63.372604628849,45.20529460021,25,0.021998339722,0.0250432007724,0.0211334922915,0.0263633908734,0.0325654701074,0.0198611811269,0.0101953632012,NA,NA,NA,NA,NA,NA,NA
CR_CH_2F_T3_FLT,CR_CH_2F_T3,Filtered,Water Control,2,3,31.346939,17.706939,NA,8,35642.788113828,58.119972251705,63.372604628849,50.105345100277,26,0.0219646498166,0.0239436751135,0.0219280098663,0.0227869419093,0.0267412854415,0.020364609373,0.0104476845678,NA,NA,NA,NA,NA,NA,NA
CR_CH_3F_T3_FLT,CR_CH_3F_T3,Filtered,Water Control,3,3,39.346939,18.346939,NA,8,35642.788113828,58.119972251705,63.372604628849,59.178187829877,27,0.0254632275025,0.0235362969444,0.0216196012792,0.0299496163803,0.0387306832612,0.0156872304639,0.0105350723577,NA,NA,NA,NA,NA,NA,NA
CR_CC_1F_T3_FLT,CR_CC_1F_T3,Filtered,Calcite control,1,3,264.96,179.58,27.609,8,35642.788113828,58.119972251705,63.372604628849,79.429164670832,28,0.0441761190781,0.0398298971461,0.0375437275556,0.0492209845854,0.039332718586,0.0304401376289,0.0186641564909,7.618547E-04,5.874549E-04,5.977638E-04,7.839401E-04,2.409929E-04,4.274861E-04,2.995925E-04
CR_CC_2F_T3_FLT,CR_CC_2F_T3,Filtered,Calcite control,2,3,251.86,156.227347,22.59,8,35642.788113828,58.119972251705,63.372604628849,68.428233196247,29,0.0362173622899,0.0389128810031,0.036777554888,0.0342525172838,0.0400725488793,0.0193491714418,0.0178888942124,5.788088E-04,6.773805E-04,6.966573E-04,2.954995E-04,3.272865E-04,3.14961E-05,3.318365E-04
CR_CC_3F_T3_FLT,CR_CC_3F_T3,Filtered,Calcite control,3,3,220.367347,103.787347,22.565,8,35642.788113828,58.119972251705,63.372604628849,76.691156837369,30,0.0385416636359,0.0384630224076,0.0363031701307,0.042540300054,0.0391874934057,0.0316148474457,0.0178358618943,6.824547E-04,6.581949E-04,6.764061E-04,6.631118E-04,2.884266E-04,5.751019E-04,3.29854E-04
CR_HR_1F_T3_FLT,CR_HR_1F_T3,Filtered,Hydrolithon reinboldii,1,3,330.02,250.24449,29.302,8,35927.910637203,62.869682064632,61.390340276199,84.517617915766,31,0.0445342973014,0.0469883037954,0.0470050223359,0.0622535244642,0.0418595663844,0.0236096073949,0.0221021731029,7.300602E-04,7.831289E-04,8.976061E-04,0.0014832843,3.133035E-04,1.69679E-04,3.996132E-04
CR_HR_2F_T3_FLT,CR_HR_2F_T3,Filtered,Hydrolithon reinboldii,2,3,411.346939,294.979592,29.234,8,35927.910637203,62.869682064632,61.390340276199,91.560798485362,32,0.0505364161301,0.0511181055552,0.0525706884379,0.0844118245414,0.0423968309688,0.023738179502,0.0245497667111,9.370713E-04,9.262176E-04,0.0010900773,0.0022446978,3.324104E-04,1.744717E-04,4.842669E-04
CR_HR_3F_T3_FLT,CR_HR_3F_T3,Filtered,Hydrolithon reinboldii,3,3,285.877551,190.408163,25.523,8,35927.910637203,62.869682064632,61.390340276199,84.58519946834,33,0.0472281175522,0.0482087572474,0.0492335267137,0.0567024628856,0.0345011647667,0.0208162397174,0.0233076812397,9.436996E-04,9.468987E-04,0.0011178215,0.0014854106,7.13873E-05,8.5357E-05,5.060132E-04
CR_PO_1F_T3_FLT,CR_PO_1F_T3,Filtered,Porolithon onkodes,1,3,625.693878,479.061225,29.225,8,35927.910637203,62.869682064632,61.390340276199,94.815410242754,34,0.0545693486016,0.056609340363,0.0593025147738,0.0632828572154,0.0476048747762,0.0072763392041,0.0284126318272,0.0010753559,0.0011098357,0.0012914336,0.0012631722,5.107178E-04,-3.88754E-04,6.165928E-04
CR_PO_2F_T3_FLT,CR_PO_2F_T3,Filtered,Porolithon onkodes,2,3,361.387755,225.204082,23.083,8,35927.910637203,62.869682064632,61.390340276199,87.579331369116,35,0.0446184961589,0.0464179265862,0.0480090339676,0.0640152310219,0.0449532952553,0.0237231959565,0.0228774754219,9.304E-04,9.636328E-04,0.0011458071,0.001631009,5.317398E-04,2.203146E-04,5.408642E-04
CR_PO_3F_T3_FLT,CR_PO_3F_T3,Filtered,Porolithon onkodes,3,3,479.102041,364.802041,16.603,8,35927.910637203,62.869682064632,61.390340276199,84.249548201561,36,0.0451951256246,0.0490780702444,0.0480010103364,0.0578859665949,0.0395490346423,0.0132245934325,0.0219350909323,0.0013282571,0.0014999506,0.001592522,0.0018984109,4.137739E-04,-3.2603E-04,6.951987E-04
CR_CH_1U_T3_FLT,CR_CH_1U_T3,Unfiltered,Water Control,1,3,707.265306,56.365306,NA,8,35710.076394155,61.764826125988,62.34529892112,63.798599313699,37,0.0216438027078,0.0239206812687,0.0218993094507,0.0267786898202,0.0422061908851,0.0343420441189,0.0100636995193,NA,NA,NA,NA,NA,NA,NA
CR_CH_2U_T3_FLT,CR_CH_2U_T3,Unfiltered,Water Control,2,3,709.857143,52.697143,NA,8,35710.076394155,61.764826125988,62.34529892112,49.540424132208,38,0.0198831163049,0.0229192739179,0.0201065642848,0.0398144933212,0.0465427204443,0.002408813217,0.0096660756124,NA,NA,NA,NA,NA,NA,NA
CR_CH_3U_T3_FLT,CR_CH_3U_T3,Unfiltered,Water Control,3,3,721.857143,83.177143,NA,8,35710.076394155,61.764826125988,62.34529892112,48.627758063566,39,0.0207531038672,0.0223347446549,0.0208708373604,0.0225295664496,0.0298724213736,0.0093450120714,0.009877614631,NA,NA,NA,NA,NA,NA,NA
CR_CC_1U_T3_FLT,CR_CC_1U_T3,Unfiltered,Calcite control,1,3,668.3,-94.86,21.952,8,35710.076394155,61.764826125988,62.34529892112,65.139567218652,40,0.03527817789,0.0374266803453,0.0360488081805,0.0389658218627,0.0255115761391,0.0196183891028,0.0183061538644,6.613598E-04,6.036939E-04,6.600055E-04,5.739419E-04,-6.3907E-04,1.937454E-04,3.843396E-04
CR_CC_2U_T3_FLT,CR_CC_2U_T3,Unfiltered,Calcite control,2,3,704.14,-50.64,26.421,8,35710.076394155,61.764826125988,62.34529892112,71.986187395734,41,0.0378183331936,0.0403465786096,0.0393907308632,0.0394152960951,0.0284156286882,0.0062498384994,0.0200032358782,6.456351E-04,6.12096E-04,6.748557E-04,4.938741E-04,-4.2106E-04,-3.45008E-04,3.835625E-04
CR_CC_3U_T3_FLT,CR_CC_3U_T3,Unfiltered,Calcite control,3,3,805.795918,61.095918,23.409,8,35710.076394155,61.764826125988,62.34529892112,82.17616178792,42,0.0395389301902,0.0416070063276,0.0401536045706,0.0677281145394,0.047051741878,0.0165958683549,0.0203442434299,8.022095E-04,7.446971E-04,7.942773E-04,0.0017669044,3.208722E-04,5.25686E-05,4.474823E-04
CR_HR_1U_T3_FLT,CR_HR_1U_T3,Unfiltered,Hydrolithon reinboldii,1,3,741.938776,-24,30.69,8,35708.304598541,62.348392406752,60.689718129955,86.411112036917,43,0.0416545352237,0.0437856705285,0.0442986618521,0.0570448832183,0.0357707707833,0.0258016642222,0.0212202567627,6.808253E-04,6.573742E-04,7.578558E-04,9.601727E-04,-1.22831E-04,3.400578E-04,3.69864E-04
CR_HR_2U_T3_FLT,CR_HR_2U_T3,Unfiltered,Hydrolithon reinboldii,2,3,852.1,115.84,26.677,8,35708.304598541,62.348392406752,60.689718129955,88.463054113142,44,0.041470127861,0.0440222071579,0.0447501636238,0.0645981749803,0.0451729511917,0.0096520390905,0.0212532760096,7.763287E-04,7.651292E-04,8.887843E-04,0.0013877495,2.111372E-04,-2.14164E-04,4.267401E-04
CR_HR_3U_T3_FLT,CR_HR_3U_T3,Unfiltered,Hydrolithon reinboldii,3,3,708.12,-77.65551,36.147,8,35708.304598541,62.348392406752,60.689718129955,102.13457180749,45,0.0489864361375,0.0521013310595,0.0517302307785,0.0646433728347,0.0393592169499,0.01372168115,0.0254347847107,7.808789E-04,7.881837E-04,8.490377E-04,0.0010254292,-5.013619E-06,-4.547E-05,4.306209E-04
CR_PO_1U_T3_FLT,CR_PO_1U_T3,Unfiltered,Porolithon onkodes,1,3,1126.714286,354.367347,23.438,8,35708.304598541,62.348392406752,60.689718129955,94.628787931306,46,0.0474070813662,0.0500429253469,0.0522346405798,0.0565805280554,0.0405751276283,0.0160062933591,0.0256162597419,0.0011369176,0.0011093892,0.0013453056,0.0016123474,4.41455E-05,2.73489E-05,6.718632E-04
CR_PO_2U_T3_FLT,CR_PO_2U_T3,Unfiltered,Porolithon onkodes,2,3,1141.92,426.14449,21.314,8,35708.304598541,62.348392406752,60.689718129955,93.448620197264,47,0.0460374110896,0.0493624520044,0.0510069613988,0.0634491528382,0.0389067950835,0.0392730960979,0.0248002264896,0.0011859531,0.0011880168,0.0014217694,0.0020952812,-2.972925E-05,0.001121695,7.0053E-04
CR_PO_3U_T3_FLT,CR_PO_3U_T3,Unfiltered,Porolithon onkodes,3,3,1041.72,351.88,24.476,8,35708.304598541,62.348392406752,60.689718129955,87.020249750392,48,0.0469886794207,0.0482205764578,0.0518688796592,0.0580746164023,0.0359144562416,0.0171089385943,0.0256770706924,0.0010716078,9.878867E-04,0.001273309,0.0016050126,-1.48145E-04,7.12391E-05,6.458547E-04
